id,difficulty,category,question,ground_truth,block,theme,answer,latency,success,error
79,Hard,Copying,I copy a [[Questing Beast]] with [[Alter Ego]]. Does the copy have the 'can't be countered' and 'enters with counters' abilities of Alter Ego?,The 'can't be countered' was part of the casting process. The copy effect is the Questing Beast plus a +1/+1 counter if paid. The counter becomes part of the object but is not a 'copyable value' for future clones.,8,Copies & Transformations,The copy of Questing Beast created by Alter Ego does not have the 'can't be countered' or 'enters with counters' abilities of Alter Ego.,10.85016417503357,True,
80,Medium,Copying,"If I copy a land that has been turned into a creature by [[Nissa, Who Shakes the World]], is the copy a creature?","No. The effect making the land a creature is a continuous effect, not a copyable value. The copy will just be a non-creature land.",8,Copies & Transformations,"Thus, if you copy a land that has been turned into a creature by Nissa, the copy will indeed be a creature.",9.018101215362549,True,
81,Medium,Costs,"If I cast [[Walking Ballista]] where X=3, what is its mana value on the stack?","On the stack, X counts as the chosen value. So for X=3, the mana value (CMC) is 3+3 = 6. In any other zone, X is considered 0.",9,Costs & X Spells,"Thus, the mana value of **Walking Ballista** on the stack is 6.",5.917290449142456,True,
82,Easy,Costs,Can I pay the [[Kicker]] cost of a spell if I am casting it for free via an effect?,"Yes. When casting a spell without paying its mana cost, you can still pay optional additional costs like Kicker or Buyback.",9,Costs & X Spells,You cannot pay the kicker cost of a spell if you are casting it for free via an effect.,10.13245701789856,True,
83,Hard,Costs,I have [[Trinisphere]] and I want to cast [[Force of Will]] by exiling a blue card. How much mana do I pay?,"You pay {3}. Trinisphere is applied after all other cost additions and subtractions. Since you are paying {0} via the alternative cost, Trinisphere sees that the cost is less than 3 and bumps it up to {3}.",9,Costs & X Spells,"You pay **0 mana** to cast **Force of Will** by exiling a blue card, as you are using its alternative cost.",10.108927488327026,True,
84,Medium,Costs,"If a spell has [[Convoke]], can I tap a creature with summoning sickness to help pay for it?",Yes. Convoke is not a tap ability of the creature ({T}). It is a way to pay the spell's cost. Summoning sickness only prevents attacking and abilities with the {T} or {Q} symbol.,9,Costs & X Spells,You cannot tap a creature with summoning sickness to help pay for a spell with convoke.,9.024358987808228,True,
85,Hard,Costs,I cast [[Chalice of the Void]] with X=0. What is its mana value while on the stack?,"On the stack, the mana value is 0+0 = 0. Chalice's CMC is always 2X while on the stack, and 0 everywhere else.",9,Costs & X Spells,"Thus, the mana value of **Chalice of the Void** while it is on the stack is 0.",6.296395778656006,True,
86,Easy,Costs,"If I cast a spell with [[Delve]], does exiling cards from my graveyard change the spell's mana value?",No. Delve is an alternative way to pay the mana cost. The mana value (CMC) is determined by the symbols printed in the top right corner of the card.,9,Costs & X Spells,Exiling cards from your graveyard to cast a spell with delve does not change the spell's mana value; it remains as printed on the card.,8.881067037582397,True,
87,Medium,Costs,Can I cast a spell for its [[Overload]] cost if an effect lets me cast it 'without paying its mana cost'?,No. Overload is an alternative cost. You can only apply one alternative cost to a spell. 'Without paying its mana cost' is already an alternative cost.,9,Costs & X Spells,You cannot cast a spell for its Overload cost if an effect allows you to cast it without paying its mana cost.,7.18870210647583,True,
88,Hard,Costs,"I control [[Lodestone Golem]] ({1} more for non-artifact spells). If I cast a non-artifact spell with [[Delve]], can I exile a card to pay for the Golem's tax?","Yes. Delve allows you to exile cards to pay for any part of the generic mana cost, including additional costs or taxes like the one from Lodestone Golem.",9,Costs & X Spells,"Yes, you can exile cards to pay for the Golem's tax when casting a non-artifact spell with Delve, as the additional cost is part of the total cost that Delve allows you to reduce.",11.708579540252686,True,
89,Medium,Costs,"If I cast [[Ancestral Vision]] from my hand, do I have to pay {0}?",Ancestral Vision has no mana cost (it is unpayable). You cannot cast it normally from your hand; you must use its Suspend ability or an effect that lets you cast it without paying its mana cost.,9,Costs & X Spells,You must pay {U} to cast Ancestral Vision from your hand; you cannot cast it for {0}.,8.783618927001953,True,
90,Hard,Costs,"If I have [[Jet Medallion]] (black spells cost {1} less) and I cast a black spell with X in its cost, does the reduction apply to X?","Yes. You first choose the value for X, calculate the total cost, and then apply reductions. The Medallion will reduce the total amount of generic mana you have to pay by {1}.",9,Costs & X Spells,The reduction from Jet Medallion does not apply to the value of X; it only reduces the total cost of the spell after you have chosen a value for X.,8.340839862823486,True,
91,Hard,Layers,I control [[Humility]] and my opponent plays [[Opalescence]]. What is the power and toughness of other non-aura enchantments?,"This is a Layer 7b interaction. Both effects apply in the same sublayer. They are applied in timestamp order. If Humility entered the battlefield last, all other non-aura enchantments are 1/1 creatures. If Opalescence entered last, their P/T is equal to their mana value.",10,Elite Interactions (Pro Level),"The power and toughness of all other non-Aura enchantments, including Opalescence, is 1/1.",8.609476089477539,True,
92,Hard,Dependencies,"I have [[Blood Moon]] and my opponent has [[Urborg, Tomb of Yawgmoth]] in play. Are lands Swamps?","No. There is a dependency in Layer 4. Blood Moon's effect changes Urborg's type to Mountain, which removes its ability to make lands Swamps. Therefore, Urborg's effect is never applied, and lands remain their basic types or Mountains.",10,Elite Interactions (Pro Level),"Consequently, under the influence of Blood Moon, lands are not Swamps; they are Mountains instead.",12.636319160461426,True,
93,Hard,Continuous Effects,"If I cast [[Dress Down]] during my opponent's end step, when does it get sacrificed?","It will be sacrificed at the beginning of the next player's end step (your turn). Since 'at the beginning of the end step' triggers occur at the very start of that phase, casting it during the phase means the trigger for the current turn has already passed.",10,Elite Interactions (Pro Level),"Dress Down will be sacrificed at the beginning of the end step of the turn in which it was cast, after its triggered ability has resolved.",6.913862705230713,True,
94,Hard,Axioms / Sagas,"If I use [[Power Terrace]] to give my [[Urza's Saga]] +1/+1 (making it a creature) and then I play [[Blood Moon]], is it still a creature?","No. Blood Moon turns the land into a Mountain in Layer 4 and it loses all abilities. Since the effect making it a creature was tied to it being a Saga/Enchantment with specific abilities that are now gone, it ceases to be a creature and becomes a non-basic Mountain.",10,Elite Interactions (Pro Level),"**Urza's Saga remains a creature after Blood Moon is played, retaining its +1/+1 from Power Terrace, but it is now a Mountain.**",10.227911710739136,True,
95,Hard,Replacement Effects,I have [[Doubling Season]] and I cast a creature with [[Sunburst]]. Are the counters doubled?,"Yes. Sunburst is a replacement effect that modifies how the permanent enters the battlefield ('enters with...'). Doubling Season interacts with any effect that places counters as a permanent enters, so it doubles the sunburst counters.",10,Elite Interactions (Pro Level),"Yes, the counters are indeed doubled; if you cast a creature with Sunburst and spent three colors of mana, it will enter the battlefield with six counters due to Doubling Season.",8.65540361404419,True,
96,Hard,Time-Travel / Teferi,"My opponent has [[Teferi, Time Raveler]]. I have a spell with [[Suspend]] that has its last counter removed during my upkeep. Can I cast it?","No. Suspend triggers during the upkeep and instructs you to cast the spell. However, Teferi's static ability restricts you to casting spells only when you could cast a sorcery (Main phase, empty stack). Since it is the upkeep, the spell remains in exile.",10,Elite Interactions (Pro Level),"You cannot cast the spell with Suspend during your upkeep if it is not a sorcery, due to Teferi, Time Raveler's restriction on casting spells.",9.850217342376709,True,
97,Hard,Triggers,"If I control [[Elesh Norn, Mother of Machines]] and my opponent's [[Ashen Rider]] dies, does its ability trigger twice?","No. Elesh Norn only doubles triggers that occur when a permanent ENTERS the battlefield. Ashen Rider's ability is a 'leaves the battlefield' (dies) trigger, so it only triggers once as normal.",10,Elite Interactions (Pro Level),"Thus, Ashen Rider's ability triggers only once when it dies, as Elesh Norn does not influence abilities of permanents controlled by your opponent.",8.036452531814575,True,
98,Hard,Control,"If I use [[Sudden Substitution]] to swap a creature I control for an opponent's spell, and that spell has [[Storm]], who gets the Storm copies?","The opponent (the original caster) still controls the Storm trigger. Storm triggers when the spell is cast. Even if you gain control of the original spell, the trigger on the stack is still controlled by the player who cast it, and they will get the copies.",10,Elite Interactions (Pro Level),"You, as the new controller of the spell with Storm, will receive all the Storm copies created when that spell resolves.",8.620335817337036,True,
99,Hard,Layers / Copy,"I have a [[Magus of the Moon]] that is being affected by [[Lignify]]. If I copy it with [[Clone]], what is the Clone?","The Clone is a full [[Magus of the Moon]]. It will have the ability 'Nonbasic lands are Mountains'. Lignify's effect (making it a 0/4 Treefolk) is a continuous effect applied in Layer 6, which is not part of the card's copyable values.",10,Elite Interactions (Pro Level),"Thus, the Clone enters the battlefield as a 0/4 Treefolk with no abilities, mirroring the state of the Magus of the Moon under the effect of Lignify.",10.40284776687622,True,
100,Hard,Winning the Game,I have [[Abyssal Persecutor]] and my opponent is at -10 life. I cast [[Fractured Identity]] on my Persecutor. Who wins?,"The game continues. Each of your opponents receives a copy of Abyssal Persecutor. Since YOU are now the only player who doesn't control one, you are the only one who 'can't win', while your opponents 'can't lose' due to the copies they now control.",10,Elite Interactions (Pro Level),"Your opponent does not lose the game, and you cannot win the game while controlling the Abyssal Persecutor or its copies; thus, the game continues indefinitely in a state of stasis.",11.087478160858154,True,
